id,name,address,latitude,longitude,distance,selected
ola-platform:5000037877896,Sadhana Medical,"Sh9,  Barjora,  Bankura,  West Bengal,  722202,  India",,,0.65 km,False
ola-platform:5000059064439,Medicine Shop,"Barjora,  Bankura,  West Bengal,  722202,  India",,,0.68 km,False
ola-platform:5000052002793,Khan Pharmacy,"Barjora,  Bankura,  West Bengal,  722202,  India",,,0.79 km,False
ola-platform:5000060748491,Madhusudhan Medical,"Barjora,  Bankura,  West Bengal,  722202,  India",,,0.81 km,False
ola-platform:5000056985498,Swastideep Medical,"Barjora,  Bankura,  West Bengal,  722202,  India",,,0.97 km,False
ola-platform:5000061650875,Seba Medicine Center,"Na Barjora,  Main Road,  Banasreepally,  Durgapur,  West Bengal,  722202,  India",,,0.98 km,False
ola-platform:5000064329929,Chatterjee Pharmacy,"Barjora,  Bankura,  West Bengal,  722202,  India",,,1.17 km,False
ola-platform:5000055765949,Nayek Distributor (wholesale Medicine Supplier),"Barjora,  West Bengal,  722202,  India",,,1.25 km,False
ola-platform:5000037903497,Nilkamal Complex,"Ronalejora,  West Bengal,  722142,  India",,,1.56 km,False
ola-platform:5000052337351,Mata Medical,"Maliara,  Barjora,  Bankura,  West Bengal,  722142,  India",,,0.23 km,False
ola-platform:5000042816629,Google Medical,"Dr MD Shamim,  43/38/1,  Gulam Jilani Khan Rd,  Belur,  Ghusuri,  Howrah,  West Bengal,  711107,  India",,,150.14 km,False
ola-platform:5000059265767,Gope Medical Store,"Bankura - Gangajalghati - Mejia - Raniganj Rd,  Gobindadham,  West Bengal,  722143,  India",,,0.86 km,False
ola-platform:5000050204042,Flipkart Health+ - Health Buddy Shambhunath Pharmacy - Mejia,"Mejia,  Mejhia,  Bankura,  West Bengal,  722143,  India",,,1.21 km,False
